seccion,tipo,id_casilla,domicilio,ubicacion,referencia,lat,lng
0542,BASICA,1,"IGNACIO MEJÍA, NÚMERO 59, FRACCIONAMIENTO MONTOYA, CÓDIGO POSTAL 68140, OAXACA DE JUÁREZ, OAXACA",GALERA DEL COMITÉ DE VIDA VECINAL (COMVIVE) DEL FRACCIONAMIENTO MONTOYA,ENTRE LAS CALLES PORFIRIO DÍAZ Y BENITO JUÁREZ,17.0709677,-96.75756469999990
0544,BASICA,1,"13 DE SEPTIEMBRE, SIN NÚMERO, VICENTE SUÁREZ, CÓDIGO POSTAL 68000, OAXACA DE JUÁREZ, OAXACA",CANCHAS DE BÁSQUETBOL DE LA COLONIA VICENTE SUÁREZ,A 50 METROS DEL JARDÍN DE NIÑOS ANDRÉS HENESTROSA,17.0726541,-96.7430229
0545,BASICA,1,"CALZADA MADERO, NÚMERO 912, EX MARQUESADO, CÓDIGO POSTAL 68000, OAXACA DE JUÁREZ, OAXACA",INSTITUTO HINCKLEY,ENTRE CALLEJÓN FRANCISCO MONTES DE OCA Y CALLE JUAN DE LA BARRERA,17.0716277,-96.7377593
0546,BASICA,1,"IGNACIO CONMONFORT, COLONIA GUELAGUETZA OAXACA DE JUAREZ",A DOS CUADRAS DEL ESTACIONAMIENTO DEL AUDITORIO.,,17.0680464,-96.727581
0547,BASICA,1,"PORFIRIO DÍAZ, SIN NÚMERO, LUIS JIMÉNEZ FIGUEROA, CÓDIGO POSTAL 68070, OAXACA DE JUÁREZ, OAXACA",PLAZUELA DEL MERCADO SÁNCHEZ PASCUAS,ENTRE LA CALLE ABRAHAM CASTELLANOS Y CALLEJÓN HIDALGO,17.0706681,-96.7248262
0548,BASICA,1,"XÓLOTL, SIN NÚMERO, CENTRO, CÓDIGO POSTAL 68000, OAXACA DE JUÁREZ, OAXACA",EXPLANADA DEL JARDÍN CARBAJAL,ENTRE CALLE XÓLOTL Y COSIJOPI,17.0696513,-96.7237779
0549,BASICA,1,"LICENCIADO PRIMO DE VERDAD, SIN NÚMERO, ESQUINA CON AVENIDA JUÁREZ, CENTRO, CÓDIGO POSTAL 68000, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DE LA ESCUELA SECUNDARIA MOISÉS SÁENZ,ENTRE AVENIDA BENITO JUÁREZ Y CALLE PINO SUÁREZ,17.0671147,-96.7204088
0550,BASICA,1,AMAPOLAS 214 COLONIA REFORMA OAXACA DE JUAREZ CODIGO POSTAL 68050,,A MEDIA CUADRA DE LA IGLESIA MORMONA ,17.0730399,-96.7155592
0551,BASICA,1,"AVENIDA HEROICO COLEGIO MILITAR, NÚMERO 221, REFORMA, CÓDIGO POSTAL 68050, OAXACA DE JUÁREZ, OAXACA",ESTACIONAMIENTO DEL LICEO UNIVERSITARIO DE OAXACA,ENTRE LAS CALLES EUCALIPTOS Y ALMENDROS,17.073607,-96.7133514
0552,BASICA,1,"PERÚ, NÚMERO 506, AMÉRICA NORTE, CÓDIGO POSTAL 68050, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DEL DOMICILIO PARTICULAR,ENTRE LAS CALLES DE ALMENDROS Y HONDURAS,17.0709067,-96.7085974
0553,BASICA,1,"PRIVADA EDUARDO VASCONCELOS, NÚMERO 406, BARRIO JALATLACO, CÓDIGO POSTAL 68080, OAXACA DE JUAREZ, OAXACA",CENTRO DE ATENCIÓN MÚLTIPLE C.A.M. 52,ENTRE LA CALLE DERECHOS HUMANOS Y BOULEVARD EDUARDO VASCONCELOS,17.0701587,-96.7095071
